strain_host,latinname,host_group1,host_group2,order,domesticstatus,corrected_host,
africangoose,Anser cygnoides domesticus,goose,goose-swan,anseriformes,unknown,africangoose,
africancrownedcrane,Balearica regulorum,crane,other ,gruiformes,unknown,africancrownedcrane,
amazonparrot,Amazona,parrot,other ,psittaciformes,unknown,amazonparrot,
americanblackduck,Anas rubripes,duck,duck,anseriformes,wild,americanblackduck,
americanbluewingedteal,Spatula discors,duck,duck,anseriformes,wild,bluewingedteal,
americanbuffgoose,Anser anser domesticus,goose,goose-swan,anseriformes,domestic,americanbuffgoose,
americancoot,Fulica americana,crane,other ,gruiformes,wild,americancoot,
americancrow,Corvus brachyrhynchos,passerine,songbird-etc,passeriformes,wild,americancrow,
americangreenwingedteal,Anas carolinensis,duck,duck,anseriformes,wild,greenwingedteal,
americangoshawk,Astur atricapillus,raptor,bird-of-prey,accipitriformes,wild,americangoshawk,
americankestrel,Falco sparverius,raptor,bird-of-prey,falconiformes,wild,americankestrel,
americanpelican,Pelecanus erythrorhynchos,pelican,shorebird,pelecaniformes,wild,americanwhitepelican,
americanraven,Corvus corax ,passerine,songbird-etc,passeriformes,wild,commonraven,
americanrobin,Turdus migratorius,passerine,songbird-etc,passeriformes,wild,americanrobin,
americanwhitepelican,Pelecanus erythrorhynchos,pelican,shorebird,pelecaniformes,wild,americanwhitepelican,
americanwigeon,Mareca americana,duck,duck,anseriformes,wild,americanwigeon,
americanwoodcock,Scolopax minor,wader,shorebird,charadriiformes,wild,americanwoodcock,
americanwoodstork,Mycteria americana,wader,other ,ciconiiformes,wild,americanwoodstork,
anasplatyrhynchos,Anas platyrhynchos,duck,duck,anseriformes,wild,mallard,
anatinae,Anatidae,duck,duck,anseriformes,wild,wildduck,
arctictern,Sterna paradisaea,tern,shorebird,charadriiformes,wild,arctictern,
atlanticpuffin,Fratercula arctica,seabird,shorebird,charadriiformes,wild,atlanticpuffin,
aves,,unknown,other ,unknown,unknown,aves,
avian,,unknown,other ,unknown,unknown,avian,
backheadedgull,Chroicocephalus ridibundus,gull,shorebird,charadriiformes,wild,blackheadeadgull,
backyardbird,,unknown,other ,unknown,domestic,backyardbird,
baerspochard,Aythya baeri,duck,duck,anseriformes,unknown,baerspochard,
baikalteal,Sibirionetta formosa,duck,duck,anseriformes,wild,baikalteal,
baldeagle,Haliaeetus leucocephalus,raptor,bird-of-prey,accipitriformes,wild,baldeagle,
barheadedgoose,Anser indicus,goose,goose-swan,anseriformes,wild,barheadedgoose,
barnowl,Tyto alba,owl,bird-of-prey,strigiformes,wild,barnowl,
barnswallow,Hirundo rustica,passerine,songbird-etc,passeriformes,wild,barnswallow,
barredowl,Strix varia,owl,bird-of-prey,strigiformes,wild,barredowl,
barrowsgoldeneye,Bucephala islandica,duck,duck,anseriformes,wild,barrowsgoldeneye,
blackbelliedplover,Pluvialis squatarola,wader,shorebird,charadriiformes,wild,blackbelliedplover,
blackbilledmagpie,Pica hudsonia,passerine,songbird-etc,passeriformes,wild,blackbilledmagpie,
blackbird,Turdus merula,passerine,songbird-etc,passeriformes,wild,blackbird,
blackbrant,Branta bernicla nigricans,goose,goose-swan,anseriformes,wild,blackbrant,black brant is a subspecies
blackcrownednightheron,Nycticorax nycticorax,heron,shorebird,pelecaniformes,wild,blackcrownednightheron,
blackheadeadgull,Chroicocephalus ridibundus,gull,shorebird,charadriiformes,wild,blackheadeadgull,
blackleggedkittiwake,Rissa tridactyla,gull,shorebird,charadriiformes,wild,blackleggedkittiwake,
blackneckswan,Cygnus melancoryphus,swan,goose-swan,anseriformes,unknown,blackneckswan,
blackscoter,Melanitta americana,duck,duck,anseriformes,wild,blackscoter,
blackskimmer,Rynchops niger,seabird,shorebird,charadriiformes,wild,blackskimmer,
blackswan,Cygnus atratus,swan,goose-swan,anseriformes,wild,blackswan,
blackswift,Cypseloides niger,swift,,apodiformes,wild,blackswift,
blackturnstone,Arenaria melanocephala,wader,shorebird,charadriiformes,wild,blackturnstone,
blackvulture,Coragyps atratus,raptor,bird-of-prey,accipitriformes,wild,blackvulture,
bluejay,Cyanocitta cristata,passerine,songbird-etc,passeriformes,wild,bluejay,
bluewingedteal,Spatula discors,duck,duck,anseriformes,wild,bluewingedteal,
boattailedgrackle,Quiscalus major,passerine,songbird-etc,passeriformes,wild,boattailedgrackle,
bonapartesgull,Chroicocephalus philadelphia,gull,shorebird,charadriiformes,wild,bonapartesgull,
brantacanadensis,Branta canadensis,goose,goose-swan,anseriformes,wild,canadagoose,
brant,Branta bernicla,goose,goose-swan,anseriformes,wild,brant,
brandtgoose,Branta bernicla,goose,goose-swan,anseriformes,wild,brant,
brandtscormorant,Urile penicillatus,cormorant,shorebird,suliformes,wild,brandtscormorant,
brazilianteal,Amazonetta brasiliensis,duck,duck,anseriformes,unknown,brazilianteal,
brewersblackbird,Euphagus cyanocephalus,passerine,songbird-etc,passeriformes,wild,brewersblackbird,
broadwingedhawk,Buteo platypterus,raptor,bird-of-prey,accipitriformes,wild,broadwingedhawk,
broilerbreederschicken,Gallus gallus,chicken,ground-bird,galliformes,domestic,chicken,
broilerchicken,Gallus gallus,chicken,ground-bird,galliformes,domestic,chicken,
brownpelican,Pelecanus occidentalis,pelican,shorebird,pelecaniformes,wild,brownpelican,
bufflehead,Bucephala albeola,duck,duck,anseriformes,wild,bufflehead,
bubovirginianus,Bubo virginianus,owl,bird-of-prey,strigiformes,wild,greathornedowl,
burrowingowl,Athene cunicularia,owl,bird-of-prey,strigiformes,wild,burrowingowl,
buteojamaicensis,Buteo jamaicensis,raptor,bird-of-prey,accipitriformes,wild,redtailedhawk,
cacklinggoose,Branta hutchinsii,goose,goose-swan,anseriformes,wild,cacklinggoose,
californiacondor,Gymnogyps californianus,raptor,bird-of-prey,accipitriformes,wild,californiacondor,
californiagull,Larus californicus,gull,shorebird,charadriiformes,wild,californiagull,
californiaquail,Callipepla californica,groundbird,ground-bird,galliformes,wild,californiaquail,
canadagoose,Branta canadensis,goose,goose-swan,anseriformes,wild,canadagoose,
canvasback,Aythya valisineria,duck,duck,anseriformes,wild,canvasback,
capeteal,Anas capensis,duck,duck,anseriformes,unknown,capeteal,
cascadeduck,,duck,duck,anseriformes,domestic,cascadeduck,
caspiantern,Hydroprogne caspia,tern,shorebird,charadriiformes,wild,caspiantern,
catalinamacaw,Ara ararauna or Ara macao,parrot,other ,psittaciformes,unknown,catalinamacaw,hybrid
cattleegret,Ardea ibis,wader,shorebird,pelecaniformes,wild,cattleegret,
chicken,Gallus gallus,chicken,ground-bird,galliformes,domestic,chicken,
chileanflamingo,Phoenicopterus chilensis,wader,other ,phoenicopteriformes,unknown,chileanflamingo,
chineseringneckpheasant,Phasianus colchicus,pheasant,ground-bird,galliformes,wild,ringneckpheasant,
chukar,Alectoris chukar,groundbird,ground-bird,galliformes,unknown,chukarpartridge,
cinnamonteal,Spatula cyanoptera,duck,duck,anseriformes,wild,cinnamonteal,
commonbarnowl,Tyto alba,owl,bird-of-prey,strigiformes,wild,barnowl,
commoneider,Somateria mollissima,duck,duck,anseriformes,wild,commoneider,
commoneiders,Somateria mollissima,duck,duck,anseriformes,wild,commoneider,
commongoldeneye,Bucephala clangula,duck,duck,anseriformes,wild,commongoldeneye,
commongrackle,Quiscalus quiscula,passerine,songbird-etc,passeriformes,wild,commongrackle,
commonloon,Gavia immer,duck,duck,gaviiformes,wild,commonloon,
commonmerganser,Mergus merganser,duck,duck,anseriformes,wild ,commonmerganser,
commonmurre,Uria aalge,gull,shorebird,charadriiformes,wild,commonmurre,
commonraven,Corvus corax,passerine,songbird-etc,passeriformes,wild,commonraven,
commontern,Sterna hirundo,tern,shorebird,charadriiformes,wild,commontern,
coopershawk,Accipiter cooperii,raptor,bird-of-prey,accipitriformes,wild,coopershawk,
coopersshawk,Accipiter cooperii,raptor,bird-of-prey,accipitriformes,wild,coopershawk,
cormorant,Phalacrocoracidae,cormorant,shorebird,suliformes,wild,cormorant,
corvusossifragus,Corvus ossifragus,crow,songbird-etc,passeriformes,wild,fishcrow,
crane,Gruidae,crane,other ,gruiformes,wild,crane,
crestedcaracara,Caracara plancus,raptor,bird-of-prey,falconiformes,wild,crestedcaracara,
crestedscreamer,Chauna torquata,wader,other,anseriformes,unknown,crestedscreamer,
crow,Corvus brachyrhynchos,passerine,songbird-etc,passeriformes,wild,crow,
dalmatianpelican,Pelecanus crispus,pelican,shorebird,pelecaniformes,unknown,dalmatianpelican,
darkeyedjunco,Junco hyemalis,passerine,songbird-etc,passeriformes,wild,darkeyedjunco,
domesticbird,,unknown,ground-bird,other,domestic,domesticbird,
domesticduck,,duck,duck,anseriformes,domestic,domesticduck,
domesticgoose,Anser anser domesticus or anser cygnoides domesticus,goose,goose-swan,anseriformes,domestic,domesticgoose,
domesticturkey,Meleagris gallopavo,turkey,ground-bird,galliformes,domestic,domesticturkey,
doublecrestedcormorant,Phalacrocorax auritus,cormorant,shorebird,suliformes,wild,doublecrestedcormorant,
dove,,dove,songbird-etc,columbiformes,wild,dove,
dovekie,Alle alle,seabird,shorebird,charadriiformes,wild,dovekie,
duck,,duck,duck,anseriformes,unknown,duck,
dunlin,Calidris alpina,wader,shorebird,charadriiformes,wild,dunlin,
eagle,,raptor,bird-of-prey,accipitriformes,wild,eagle,
earedgrebe,Podiceps nigricollis,grebe,diving-bird,podicipediformes,wild,earedgrebe,
easternscreechowl,Megascops asio,owl,bird-of-prey,strigiformes,wild,easternscreechowl,
egyptiangoose,Alopochen aegyptiaca,goose,goose-swan,anseriformes,wild,egyptiangoose,introduced
eider,Somateria mollissima,duck,duck,anseriformes,wild,commoneider,
